序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920050,N爱舍伦,44.04,175.59,28.06,141618.0,688872968.28,68.77,55.0,44.01,48.88,15.98,,78.23,30.42,2.83,2980597869.0,797240750.0,-0.09,0.05,175.59,175.59
2,920427,华维设计,18.22,29.96,4.2,140485.0,247693084.08,29.67,18.22,14.06,14.06,14.02,5.25,27.75,363.38,5.71,1878390900.0,922299388.0,0.0,0.0,22.2,47.77
3,300391,*ST长药,0.64,20.75,0.11,519669.0,32173257.0,16.98,0.64,0.55,0.59,0.53,0.82,14.83,-0.8,-0.35,224215112.0,224215112.0,0.0,0.0,-83.29,-26.44
4,300344,*ST立方,0.96,20.0,0.16,706234.0,66661231.36,8.75,0.96,0.89,0.95,0.8,1.25,11.04,-7.43,2.73,616038159.0,614394399.0,0.0,0.0,-77.83,-5.88
5,301023,奕帆传动,55.92,20.0,9.32,34315.0,191890374.72,0.0,55.92,55.92,55.92,46.6,0.58,8.21,56.2,5.33,4371079068.0,2337795546.0,0.0,0.0,41.61,29.15
6,688047,龙芯中科,177.72,20.0,29.62,130643.0,2243098933.0,16.66,177.72,153.04,153.04,148.1,0.96,3.26,-135.72,27.88,71265720000.0,71265720000.0,0.0,0.0,26.23,34.52
7,301200,大族数控,161.34,20.0,26.89,92938.0,1363990596.34,20.67,161.34,133.55,134.0,134.45,1.47,2.21,104.71,12.19,68651646584.0,67986437892.0,0.0,0.0,37.86,35.84
8,300837,浙矿股份,53.4,20.0,8.9,99835.0,504358529.77,16.67,53.4,45.98,45.98,44.5,1.24,13.21,77.2,3.87,5340097028.0,4036469528.0,0.0,0.0,101.21,56.97
9,920455,汇隆活塞,10.5,20.0,1.75,195585.0,201511121.09,27.2,11.34,8.96,9.1,8.75,10.61,20.89,61.21,5.49,1863225000.0,982979141.0,-0.19,-0.94,5.21,25.0
10,301031,中熔电气,143.4,20.0,23.9,50281.0,720338827.92,0.74,143.4,142.52,142.53,119.5,1.16,7.31,43.68,10.02,14099443632.0,9868455312.0,0.0,0.0,25.71,27.82
11,301486,致尚科技,163.2,20.0,27.2,87193.0,1327825570.69,20.7,163.2,135.05,136.0,136.0,1.37,12.03,96.5,8.03,21000738384.0,11824452816.0,0.0,0.0,81.54,31.56
12,300606,金太阳,39.13,19.96,6.51,519675.0,1836088679.53,25.29,39.14,30.89,32.36,32.62,2.14,44.16,193.58,8.02,5413550431.0,4604602637.0,0.0,1.24,44.77,66.44
13,688630,芯碁微装,194.88,16.26,27.26,143248.0,2731699808.0,15.59,201.14,175.0,175.75,167.62,1.73,10.87,96.85,11.6,25673630734.0,25673630734.0,0.12,-0.06,41.24,44.86
14,688691,灿芯股份,159.0,15.78,21.67,105017.0,1583297412.0,20.67,162.0,133.61,135.0,137.33,1.18,14.69,-151.44,15.21,19080000000.0,11362936590.0,0.25,0.63,6.71,55.91
15,301590,优优绿能,230.78,15.38,30.77,23197.0,506800405.02,22.0,239.0,195.0,198.01,200.01,3.31,26.96,58.77,4.98,9705020880.0,1985326721.0,-0.01,-0.09,15.59,30.16
16,300651,金陵体育,26.79,14.73,3.44,309780.0,777869972.44,17.47,27.35,23.27,23.93,23.35,3.08,35.43,80.37,3.5,3783007542.0,2342330767.0,0.0,1.17,18.17,31.45
17,300757,罗博特科,335.0,14.73,43.0,127890.0,4143593825.03,15.55,339.55,294.13,294.13,292.0,1.33,8.49,-563.37,33.72,56148717185.0,50468679290.0,0.24,0.3,46.84,43.59
