标题,摘要,发布时间,链接
盛和资源：2025年净利同比预增281.28%-339.20%,【盛和资源：2025年净利同比预增281.28%-339.20%】盛和资源(600392.SH)公告称，盛和资源预计2025年度归属于上市公司股东的净利润为7.90亿元至9.10亿元，同比增加281.28%到339.20%。报告期内，稀土市场行情整体上涨，主要产品价格全年销售均价大幅上升，公司优化产销结构、加强成本管控，主要产品销量同比增长，驱动业绩大幅增长。,2026-01-29 16:11:14,https://finance.eastmoney.com/a/202601293635230890.html
有研新材：预计2025年归母净利润同比增长73%到90%,【有研新材：预计2025年归母净利润同比增长73%到90%】有研新材1月29日公告，预计2025年度归母净利润2.55亿元到2.8亿元，同比增长73%到90%。,2026-01-29 16:10:53,https://finance.eastmoney.com/a/202601293635232191.html
方正证券：预计2025年归母净利润38.6亿元-40.8亿元 同比增长75%-85%,【方正证券：预计2025年归母净利润38.6亿元-40.8亿元 同比增长75%-85%】方正证券1月29日公告，预计2025年归母净利润38.6亿元-40.8亿元，同比增长75%-85%。,2026-01-29 16:10:52,https://finance.eastmoney.com/a/202601293635232345.html
桐昆股份：预计2025年归母净利润同比增长62.24%至78.88%,【桐昆股份：预计2025年归母净利润同比增长62.24%至78.88%】桐昆股份1月29日公告，预计2025年度归母净利润19.5亿元-21.5亿元，较上年同期增加7.48亿元至9.48亿元，增幅62.24%至78.88%。,2026-01-29 16:10:52,https://finance.eastmoney.com/a/202601293635231835.html
知识星球开展涉资本金融市场违规内容专项治理 严惩诱导跟风交易及操纵市场倾向,【知识星球开展涉资本金融市场违规内容专项治理 严惩诱导跟风交易及操纵市场倾向】整治重点包括：严厉打击恶意“唱衰”及歪曲国家经济政策行为；深度清查“非法经济学家”及无资质违规课程；严惩诱导跟风交易及操纵市场倾向；严厉打击违规引流与黑灰产运作；治理AI合成及“小作文”造谣。,2026-01-29 16:10:12,https://finance.eastmoney.com/a/202601293635230224.html
1月29日港股收盘：恒指涨0.51% 恒生科技指数跌1%,【1月29日港股收盘：恒指涨0.51% 恒生科技指数跌1%】恒生指数收报27968.09点，涨141.18点，涨幅0.51%；恒生科技指数收报5841.1点，跌59.06点，跌幅1.0%。恒生指数成分股中信义玻璃、中国海外发展、龙湖集团涨幅居前，金沙中国有限公司、银河娱乐、京东健康跌幅靠前。,2026-01-29 16:10:12,https://finance.eastmoney.com/a/202601293635229317.html
华康洁净：预计2025年度归母净利润增长70.63%至115.54%,【华康洁净：预计2025年度归母净利润增长70.63%至115.54%】1月29日，华康洁净（301235）发布公告，预计2025年度归母净利润为1.14亿元至1.44亿元，同比增长70.63%至115.54%；扣除非经常性损益后的净利润预计为1.1亿元至1.4亿元，同比增长90.71%至142.73%。,2026-01-29 16:08:13,https://finance.eastmoney.com/a/202601293635227969.html
阿里速卖通成2025年美国增速最快十大平台之一,【阿里速卖通成2025年美国增速最快十大平台之一】1月28日，互联网数据分析机构Similarweb发布2026年度Digital100报告。阿里巴巴旗下跨境电商平台速卖通AliExpress在美国、英国、德国等多个发达国家市场均跻身综合平台增速前十。,2026-01-29 16:07:03,https://finance.eastmoney.com/a/202601293635225989.html
欧洲主要股指开盘多数上涨,【欧洲主要股指开盘多数上涨】欧洲主要股指开盘多数上涨。欧洲斯托克50指数涨0.42%，英国富时100指数涨0.46%，法国CAC40指数涨0.64%，德国DAX30指数跌0.44%，富时意大利MIB指数涨0.39%。,2026-01-29 16:03:38,https://finance.eastmoney.com/a/202601293635223372.html
盘江股份：2025年净利同比预增205.30%-264.83%,【盘江股份：2025年净利同比预增205.30%-264.83%】1月29日，盘江股份(600395.SH)公告称，盘江股份预计2025年度归属于上市公司股东的净利润为3.18亿元至3.80亿元，同比增加205.30%到264.83%。,2026-01-29 16:03:02,https://finance.eastmoney.com/a/202601293635224237.html
