日期,样本代码,样本简称,所属行业,总市值(亿元),权重（%）
2026-01-30,936,华西股份,原材料,78.94,0.01
2026-01-30,937,冀中能源,能源,197.88,0.01
2026-01-30,948,南天信息,信息技术,65.85,0.01
2026-01-30,949,新乡化纤,原材料,120.46,0.01
2026-01-30,950,重药控股,医药卫生,104.56,0.01
2026-01-30,951,中国重汽,工业,222.4,0.02
2026-01-30,952,广济药业,医药卫生,27.6,0.0
2026-01-30,955,欣龙控股,可选消费,30.9,0.0
2026-01-30,957,中通客车,可选消费,68.54,0.01
2026-01-30,959,首钢股份,原材料,438.93,0.01
2026-01-30,960,锡业股份,原材料,655.36,0.07
2026-01-30,962,东方钽业,原材料,195.28,0.02
2026-01-30,965,天保基建,房地产,44.62,0.0
2026-01-30,966,长源电力,公用事业,159.43,0.01
2026-01-30,968,蓝焰控股,能源,79.04,0.01
2026-01-30,973,佛塑科技,原材料,119.57,0.02
2026-01-30,977,浪潮信息,信息技术,923.67,0.12
2026-01-30,978,桂林旅游,可选消费,34.31,0.0
2026-01-30,980,众泰汽车,可选消费,162.87,0.02
2026-01-30,981,山子高科,可选消费,465.88,0.05
2026-01-30,983,山西焦煤,能源,415.0,0.03
2026-01-30,985,大庆华科,原材料,28.74,0.0
2026-01-30,2953,日丰股份,工业,61.45,0.0
2026-01-30,989,九芝堂,医药卫生,75.49,0.01
2026-01-30,990,诚志股份,原材料,111.19,0.01
2026-01-30,993,闽东电力,公用事业,55.64,0.01
2026-01-30,998,隆平高科,主要消费,154.44,0.02
2026-01-30,1896,豫能控股,公用事业,94.6,0.01
2026-01-30,1965,招商公路,工业,637.38,0.03
2026-01-30,2004,华邦健康,原材料,110.88,0.02
2026-01-30,2006,精工科技,工业,107.03,0.02
2026-01-30,2007,华兰生物,医药卫生,285.63,0.03
2026-01-30,2008,大族激光,信息技术,496.78,0.07
2026-01-30,2009,天奇股份,工业,114.15,0.02
2026-01-30,2010,传化智联,工业,184.36,0.01
2026-01-30,988,华工科技,信息技术,778.36,0.12
2026-01-30,2012,凯恩股份,原材料,30.12,0.0
2026-01-30,2015,协鑫能科,公用事业,170.12,0.02
2026-01-30,2016,世荣兆业,房地产,49.68,0.0
2026-01-30,2019,亿帆医药,医药卫生,147.91,0.02
2026-01-30,2021,中捷资源,工业,38.97,0.01
2026-01-30,2022,科华生物,医药卫生,32.66,0.01
2026-01-30,2023,海特高新,工业,90.61,0.01
2026-01-30,2025,航天电器,信息技术,228.99,0.03
2026-01-30,2026,山东威达,工业,69.82,0.01
2026-01-30,2030,达安基因,医药卫生,92.63,0.01
2026-01-30,2031,巨轮智能,工业,170.01,0.03
2026-01-30,2033,丽江股份,可选消费,53.52,0.01
2026-01-30,2034,旺能环境,工业,73.26,0.01
2026-01-30,2036,联创电子,信息技术,116.73,0.02
2026-01-30,2037,保利联合,原材料,47.08,0.01
2026-01-30,2039,黔源电力,公用事业,74.95,0.01
2026-01-30,2040,南 京 港,工业,53.33,0.0
2026-01-30,2041,登海种业,主要消费,99.35,0.01
2026-01-30,2042,华孚时尚,可选消费,71.09,0.01
2026-01-30,2043,兔 宝 宝,原材料,134.09,0.01
2026-01-30,2045,国光电器,可选消费,77.62,0.01
2026-01-30,2011,盾安环境,工业,135.41,0.01
2026-01-30,2048,宁波华翔,可选消费,268.89,0.03
2026-01-30,2049,紫光国微,信息技术,714.62,0.1
2026-01-30,2051,中工国际,工业,108.77,0.01
2026-01-30,2059,云南旅游,可选消费,56.39,0.0
2026-01-30,2060,广东建工,工业,143.04,0.01
2026-01-30,2061,浙江交科,工业,110.98,0.01
2026-01-30,2062,宏润建设,工业,126.08,0.01
2026-01-30,2063,远光软件,信息技术,123.39,0.02
2026-01-30,2064,华峰化学,原材料,639.18,0.04
2026-01-30,2066,瑞泰科技,原材料,47.03,0.01
2026-01-30,2067,景兴纸业,原材料,81.41,0.01
2026-01-30,2069,獐子岛,主要消费,27.59,0.0
