序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920022,N世昌,40.5,271.56,29.6,145340.0,641047063.85,87.43,49.44,39.91,48.22,10.9,,87.48,40.29,5.86,2347623000.0,672907500.0,-0.07,-0.49,271.56,271.56
2,300993,玉马科技,20.26,20.02,3.38,374561.0,713426880.58,21.09,20.26,16.7,16.8,16.88,2.71,15.56,42.13,4.19,6242738112.0,4878489986.0,0.0,0.0,38.01,81.05
3,301043,绿岛风,46.25,20.01,7.71,54549.0,238164831.75,18.53,46.25,39.11,39.11,38.54,2.78,9.61,36.87,3.84,3145000000.0,2624583438.0,0.0,0.0,52.29,66.67
4,688662,富信科技,57.8,19.99,9.63,96710.0,542800500.0,17.19,57.8,49.52,50.5,48.17,2.62,10.96,125.33,7.38,5100272000.0,5100272000.0,0.0,0.0,61.63,70.15
5,301379,天山电子,29.54,19.98,4.92,360499.0,998474514.16,20.06,29.54,24.6,24.6,24.62,5.54,28.46,38.95,4.25,5836301694.0,3741609955.0,0.0,0.0,12.23,107.74
6,688195,腾景科技,132.14,14.94,17.18,151830.0,1936842438.0,18.45,137.79,116.58,119.8,114.96,1.0,11.74,233.57,18.21,17092309000.0,17092309000.0,0.14,0.03,201.69,229.44
7,301421,波长光电,108.3,14.6,13.8,248323.0,2609319272.62,23.41,113.4,91.28,92.98,94.5,2.65,53.62,440.2,10.57,12532259400.0,5015208926.0,0.01,0.28,48.17,102.17
8,301391,卡莱特,71.84,14.29,8.98,61236.0,419860478.9,15.53,72.05,62.29,62.29,62.86,2.08,12.42,422.21,3.3,6825864022.0,3542911297.0,0.0,0.55,67.38,94.74
9,300582,英飞特,18.65,14.14,2.31,352731.0,630351746.42,15.79,18.78,16.2,16.37,16.34,2.51,15.92,-65.73,3.91,5567705501.0,4131718445.0,0.0,-0.27,46.5,32.83
10,300859,西域旅游,56.99,12.61,6.38,294315.0,1602900239.86,18.4,58.88,49.57,50.5,50.61,1.64,18.99,393.42,12.23,8833450000.0,8833450000.0,-0.02,0.3,41.59,63.39
11,300109,新开源,19.24,12.32,2.11,413410.0,761826921.43,15.47,19.5,16.85,17.1,17.13,4.01,9.19,33.65,2.47,9351602096.0,8654597002.0,0.1,0.16,18.99,22.55
12,301308,江波龙,127.95,12.25,13.96,269657.0,3410369532.38,16.13,135.4,117.01,117.01,113.99,1.12,9.83,1815.95,7.96,53629636913.0,35109211049.0,-0.03,0.43,50.62,48.78
13,301630,同宇新材,212.4,12.14,23.0,29507.0,596441187.48,13.68,215.46,189.55,189.55,189.4,2.22,29.51,64.13,5.2,8496000000.0,2124000000.0,-0.05,0.04,152.86,152.86
14,836957,汉维科技,17.98,11.82,1.9,88995.0,165322818.49,30.66,20.78,15.85,16.0,16.08,4.85,20.84,-1207.02,4.98,1929277985.0,767831117.0,-0.06,1.58,14.45,83.84
15,300591,万里马,10.95,11.62,1.14,955483.0,1009495350.8,16.11,11.3,9.72,9.72,9.81,2.92,27.26,-61.91,15.8,4442127858.0,3837370856.0,0.0,-0.18,-2.49,166.42
16,835174,五新隧装,62.79,11.57,6.51,107320.0,669591778.31,18.69,66.6,56.08,56.3,56.28,4.09,12.34,55.5,6.92,5651647403.0,5462777658.0,-0.1,-0.17,51.45,117.34
17,301626,苏州天脉,137.79,11.55,14.27,57434.0,783334340.63,8.5,140.5,130.0,130.23,123.52,2.32,22.07,84.38,10.45,15939547200.0,3586398120.0,-0.02,-0.09,37.15,48.19
18,300922,天秦装备,27.68,10.9,2.72,245019.0,660503135.77,13.14,28.06,24.78,25.02,24.96,4.12,19.65,134.16,4.8,4389559725.0,3450799666.0,-0.04,0.11,7.96,95.34
19,838971,天马新材,42.0,10.53,4.0,146287.0,604877131.74,18.42,44.8,37.8,38.09,38.0,4.24,17.34,1027.14,10.11,4413696084.0,3542817684.0,-0.78,-1.06,2.89,67.46
20,002154,报 喜 鸟,4.68,10.12,0.43,3231321.0,1448451315.25,13.41,4.68,4.11,4.29,4.25,2.0,27.39,17.31,1.52,6829681852.0,5521335665.0,0.0,2.63,24.14,7.34
21,600159,大龙地产,3.38,10.1,0.31,1528154.0,503250156.0,10.42,3.38,3.06,3.12,3.07,3.33,18.41,-130.4,1.63,2805410924.0,2805410924.0,0.0,0.0,23.81,40.83
22,002453,华软科技,6.66,10.08,0.61,620993.0,404176554.72,10.58,6.66,6.02,6.05,6.05,2.0,10.13,-29.54,5.69,5410365059.0,4081002486.0,0.0,0.0,11.93,31.88
23,603421,鼎信通讯,7.43,10.07,0.68,113269.0,84159023.0,0.0,7.43,7.43,7.43,6.75,1.36,1.74,-11.05,1.66,4845775497.0,4845775497.0,0.0,0.0,12.07,4.21
24,002303,美盈森,4.7,10.07,0.43,767254.0,354542951.85,8.67,4.7,4.33,4.33,4.27,2.49,7.93,20.43,1.62,7197221320.0,4544603933.0,0.0,0.0,32.77,36.23
25,603956,威派格,7.34,10.04,0.67,1001292.0,714922434.0,11.09,7.34,6.6,6.61,6.67,7.42,17.57,-26.12,2.12,4183112139.0,4183112139.0,0.0,0.0,6.84,38.49
26,002739,万达电影,12.82,10.04,1.17,1400973.0,1740491283.04,11.33,12.82,11.5,11.71,11.65,2.06,6.72,25.26,3.61,27073003037.0,26735528190.0,0.0,0.0,13.45,5.6
27,001330,博纳影业,6.25,10.04,0.57,669895.0,403655278.4,10.74,6.25,5.64,5.66,5.68,1.53,6.29,-4.07,2.03,8590743650.0,6659293619.0,0.0,0.0,24.75,1.96
28,600996,贵广网络,8.99,10.04,0.82,677860.0,601416739.0,7.34,8.99,8.39,8.39,8.17,3.15,5.44,-9.97,4.32,11208730687.0,11208730687.0,0.0,0.0,9.1,5.15
29,600509,天富能源,8.67,10.03,0.79,967970.0,832122187.0,7.36,8.67,8.09,8.09,7.88,0.66,7.04,19.61,1.55,11916025519.0,11916025519.0,0.0,0.0,36.75,35.05
30,300833,浩洋股份,47.16,10.03,4.3,56486.0,265772198.88,15.17,49.4,42.9,42.9,42.86,1.76,6.95,38.36,2.52,5965291980.0,3832007965.0,0.11,0.02,42.82,10.06
31,002059,云南旅游,7.35,10.03,0.67,178580.0,131256410.25,0.0,7.35,7.35,7.35,6.68,0.25,1.82,-38.39,5.62,7441395876.0,7225388526.0,0.0,0.0,40.27,36.36
32,000978,桂林旅游,7.68,10.03,0.7,627915.0,456430486.1,13.61,7.68,6.73,6.98,6.98,3.07,13.41,224.49,3.33,3595238400.0,3595152000.0,0.0,0.0,25.29,27.15
33,002468,申通快递,18.76,10.03,1.71,405694.0,760670653.51,1.17,18.76,18.56,18.56,17.05,1.48,2.77,31.68,2.88,28717848634.0,27524671362.0,0.0,0.0,75.82,86.48
34,600706,曲江文旅,13.06,10.03,1.19,685927.0,867930131.0,8.09,13.06,12.1,12.1,11.87,3.01,27.0,-119.99,5.16,3331080792.0,3317634216.0,0.0,0.0,28.67,36.04
