序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002493.SZ,荣盛石化,2010-11-09,—,—,炼油化工,13.79,190.14,187.1,3.15,0.69,1377.54,1.34,-29.82,-7.09,-7.83
2,000703.SZ,恒逸石化,1999-12-30,—,—,炼油化工,11.98,184.49,184.35,1.85,0.38,431.59,0.08,-47.32,-11.53,-13.59
3,600346.SH,恒力石化,2001-08-27,—,—,炼油化工,24.05,24.03,24.32,2.62,2.2,1692.9,-1.61,-24.08,-11.46,-7.69
4,600688.SH,上海石化,1999-12-30,—,—,炼油化工,3.09,102.93,,1.34,0.65,325.77,-1349.41,-1755.66,-10.77,-9.21
5,600028.SH,中国石化,2001-08-15,—,—,炼油化工,6.4,15.38,21.47,0.93,3.57,7739.23,-32.23,-39.83,-10.69,-10.6
6,000059.SZ,华锦股份,1999-12-30,—,—,炼油化工,5.81,,,0.92,0.31,92.93,26.24,-33.15,23.63,-5.01
7,000301.SZ,东方盛虹,2000-06-05,—,—,炼油化工,12.53,,,2.48,,828.39,108.91,21.24,-14.9,-16.36
8,000698.SZ,ST沈化,1999-12-30,—,—,炼油化工,3.81,,28.94,2.11,,31.22,147.54,121.93,11.01,8.09
9,601857.SH,中国石油,2007-11-12,—,—,炼油化工,10.53,11.7,12.16,1.24,4.46,19272.11,-4.9,-5.42,-3.92,-6.74
10,600506.SH,统一股份,2022-08-01,—,—,炼油化工,24.91,152.39,88.66,9.97,,47.83,84.7,48.0,4.77,5.01
