,序号,股票代码,股票简称,纳入时间,行业,行业2,行业3,价格,pe,pettm,pb,股息率,市值,净利同增,上季利增,营收同增,上季营增
0,1,600313.SH,农发种业,2018-12-26,农林牧渔,种植业,种子,7.73,191.47,167.8,3.78,,89.77,11.95,14.13,21.66,47.86
1,2,000713.SZ,国投丰乐,1997-04-22,农林牧渔,种植业,种子,6.83,78.06,108.65,1.83,0.23,54.52,-27.67,-25.44,-11.33,-13.42
2,3,000998.SZ,隆平高科,2000-12-11,农林牧渔,种植业,种子,9.88,127.5,,2.53,0.4,145.18,-39.62,-247.26,-1.39,-16.11
3,4,300087.SZ,荃银高科,2010-06-03,农林牧渔,种植业,种子,8.57,83.59,316.45,4.66,0.58,81.19,-113.45,-85.85,-5.9,1.81
4,5,300189.SZ,神农种业,2011-03-24,农林牧渔,种植业,种子,7.54,,,10.58,,77.21,126.67,6.69,29.36,38.66
5,6,600371.SH,万向德农,2011-10-10,农林牧渔,种植业,种子,9.27,51.54,134.2,4.94,1.62,27.12,-62.63,-39.33,-44.1,-24.39
6,7,600354.SH,敦煌种业,2007-07-03,农林牧渔,种植业,种子,6.85,72.49,52.31,5.25,,36.15,106.98,73.43,14.46,21.63
7,8,002041.SZ,登海种业,2005-04-18,农林牧渔,种植业,种子,10.79,167.68,182.48,2.62,0.27,94.95,-7.84,-33.42,-11.17,-9.41
8,1,601118.SH,海南橡胶,2011-01-17,农林牧渔,种植业,其他种植业,6.73,278.56,99.75,2.97,0.16,288.01,40.24,40.62,3.23,18.99
9,2,603336.SH,宏辉果蔬,2016-12-01,农林牧渔,种植业,其他种植业,9.62,319.95,605.78,4.11,0.05,58.56,-44.48,-44.82,-3.18,7.86
10,3,002215.SZ,诺普信,2025-05-13,农林牧渔,种植业,其他种植业,11.1,19.08,16.58,2.69,3.15,111.51,18.03,17.35,4.92,8.2
11,4,600359.SH,新农开发,1999-04-29,农林牧渔,种植业,其他种植业,7.38,88.45,3019.17,4.21,,28.16,-67.56,-61.47,-21.95,-22.45
12,5,600108.SH,亚盛集团,2011-10-10,农林牧渔,种植业,其他种植业,3.48,70.52,71.39,1.57,0.16,67.75,-3.23,-4.4,6.03,5.19
13,6,600540.SH,新赛股份,2004-01-07,农林牧渔,种植业,其他种植业,4.92,,,6.56,,28.6,20.12,-12.24,436.44,437.02
14,1,002069.SZ,獐子岛,2006-10-13,农林牧渔,渔业,水产养殖,3.97,,,155.79,,28.23,-30.79,146.39,-7.14,-0.77
15,2,300094.SZ,国联水产,2010-07-16,农林牧渔,渔业,水产养殖,3.82,,,4.19,,43.1,-905.3,-3180.5,-14.29,-18.36
16,3,600467.SH,好当家,2004-04-05,农林牧渔,渔业,水产养殖,2.67,89.82,95.3,1.14,0.33,39.01,-8.45,-8.74,-3.73,-9.18
17,4,600257.SH,大湖股份,2000-06-12,农林牧渔,渔业,水产养殖,7.11,,,4.29,,34.22,97.36,81.34,-15.69,-14.4
18,1,603363.SH,傲农生物,2024-12-27,农林牧渔,饲料,畜禽饲料,4.18,18.78,6.0,3.26,,108.8,150.54,166.81,-8.52,-15.01
19,2,000702.SZ,正虹科技,2006-03-30,农林牧渔,饲料,畜禽饲料,7.06,,,6.95,,24.47,52.88,28.75,1.55,13.72
20,3,002548.SZ,金新农,2011-02-25,农林牧渔,饲料,畜禽饲料,6.51,178.77,,3.78,,53.91,-438.06,43.74,3.04,10.38
21,4,001366.SZ,播恩集团,2023-03-14,农林牧渔,饲料,畜禽饲料,14.63,,,2.93,,23.51,31.52,-262.29,34.38,32.72
22,5,603609.SH,禾丰股份,2014-08-15,农林牧渔,饲料,畜禽饲料,7.41,19.65,36.89,1.04,0.75,67.3,-55.34,784.44,16.92,16.27
23,6,688156.SH,路德科技,2025-05-13,农林牧渔,饲料,畜禽饲料,19.14,,,2.36,,19.28,-368.25,-969.04,14.15,1.08
24,7,002567.SZ,唐人神,2011-04-01,农林牧渔,饲料,畜禽饲料,4.39,17.7,,1.15,,62.91,-243.8,-1386.75,8.87,15.05
