序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600313.SH,农发种业,2018-12-26,—,—,种子,7.93,183.03,160.41,4.35,,85.82,11.95,14.13,21.66,47.86
2,000713.SZ,国投丰乐,1997-04-22,—,—,种子,6.94,79.32,110.4,1.86,0.22,55.4,-27.67,-25.44,-11.33,-13.42
3,000998.SZ,隆平高科,2000-12-11,—,—,种子,10.04,129.57,,2.57,0.4,147.53,-39.62,-247.26,-1.39,-16.11
4,300087.SZ,荃银高科,2010-06-03,—,—,种子,8.84,86.22,326.42,4.81,0.57,83.74,-113.45,-85.85,-5.9,1.81
5,300189.SZ,神农种业,2011-03-24,—,—,种子,8.13,,,11.4,,83.25,126.67,6.69,29.36,38.66
6,600371.SH,万向德农,2011-10-10,—,—,种子,9.64,53.59,139.56,5.13,1.56,28.2,-62.63,-39.33,-44.1,-24.39
7,600354.SH,敦煌种业,2007-07-03,—,—,种子,7.34,77.67,56.05,5.62,,38.74,106.98,73.43,14.46,21.63
8,002041.SZ,登海种业,2005-04-18,—,—,种子,11.59,180.12,196.01,2.82,0.25,101.99,-7.84,-33.42,-11.17,-9.41
1,601118.SH,海南橡胶,2011-01-17,—,—,其他种植业,7.0,289.74,103.76,3.09,0.16,299.56,40.24,40.62,3.23,18.99
2,603336.SH,宏辉果蔬,2016-12-01,—,—,其他种植业,9.24,307.31,581.85,3.95,0.05,56.25,-44.48,-44.82,-3.18,7.86
3,002215.SZ,诺普信,2025-05-13,—,—,其他种植业,11.11,19.09,16.6,2.69,3.15,111.61,18.03,17.35,4.92,8.2
4,600359.SH,新农开发,1999-04-29,—,—,其他种植业,7.45,89.29,3047.81,4.25,,28.42,-67.56,-61.47,-21.95,-22.45
5,600108.SH,亚盛集团,2011-10-10,—,—,其他种植业,3.56,72.14,73.03,1.61,0.15,69.31,-3.23,-4.4,6.03,5.19
6,600540.SH,新赛股份,2004-01-07,—,—,其他种植业,4.94,,,6.58,,28.72,20.12,-12.24,436.44,437.02
1,002069.SZ,獐子岛,2006-10-13,—,—,水产养殖,3.85,,,151.08,,27.38,-30.79,146.39,-7.14,-0.77
2,300094.SZ,国联水产,2010-07-16,—,—,水产养殖,3.73,,,4.09,,42.08,-905.3,-3180.5,-14.29,-18.36
3,600467.SH,好当家,2004-04-05,—,—,水产养殖,2.65,89.15,94.59,1.13,0.34,38.72,-8.45,-8.74,-3.73,-9.18
4,600257.SH,大湖股份,2000-06-12,—,—,水产养殖,7.19,,,4.34,,34.6,97.36,81.34,-15.69,-14.4
1,603363.SH,傲农生物,2024-12-27,—,—,畜禽饲料,4.12,18.51,5.92,3.21,,107.24,150.54,166.81,-8.52,-15.01
2,000702.SZ,正虹科技,2006-03-30,—,—,畜禽饲料,6.98,,,6.87,,24.19,52.88,28.75,1.55,13.72
3,002548.SZ,金新农,2011-02-25,—,—,畜禽饲料,6.6,181.25,,3.84,,54.66,-438.06,43.74,3.04,10.38
4,001366.SZ,播恩集团,2023-03-14,—,—,畜禽饲料,14.19,,,2.84,,22.8,31.52,-262.29,34.38,32.72
5,603609.SH,禾丰股份,2014-08-15,—,—,畜禽饲料,7.28,19.31,36.24,1.02,0.76,66.12,-55.34,784.44,16.92,16.27
6,688156.SH,路德科技,2025-05-13,—,—,畜禽饲料,19.13,,,2.35,,19.27,-368.25,-969.04,14.15,1.08
7,002567.SZ,唐人神,2011-04-01,—,—,畜禽饲料,4.35,17.54,,1.14,,62.34,-243.8,-1386.75,8.87,15.05
8,002100.SZ,天康生物,2007-01-05,—,—,畜禽饲料,7.03,15.86,21.27,1.34,3.13,95.98,-27.2,22.27,4.0,10.68
9,603151.SH,邦基科技,2022-10-26,—,—,畜禽饲料,18.49,63.07,27.83,2.33,1.07,31.62,148.64,175.08,155.4,167.25
10,002385.SZ,大北农,2010-04-16,—,—,畜禽饲料,4.12,51.24,37.75,2.06,0.72,177.16,92.56,250.93,2.99,3.55
1,605198.SH,安德利,2020-09-25,—,—,果蔬加工,44.66,57.25,43.07,5.46,0.56,149.25,43.38,50.26,28.88,49.97
2,600962.SH,国投中鲁,2011-10-10,—,—,果蔬加工,22.38,200.6,103.09,6.22,,58.68,3178.21,2149.03,25.79,39.68
3,000972.SZ,*ST中基,2007-07-03,—,—,果蔬加工,3.52,,,,,27.15,-230.9,-733.0,18.92,-0.08
4,300175.SZ,ST朗源,2011-02-23,—,—,果蔬加工,6.29,,,5.74,,29.61,74.23,75.99,13.96,-4.72
5,600251.SH,冠农股份,2016-07-01,—,—,果蔬加工,10.48,39.8,37.06,2.15,1.72,81.43,4.56,-0.89,-24.8,-24.66
1,000019.SZ,深粮控股,2021-12-13,—,—,粮油加工,7.1,25.15,25.23,1.64,2.11,81.83,-0.3,36.44,3.07,-1.33
2,002852.SZ,道道全,2017-03-17,—,—,粮油加工,11.22,21.81,13.72,1.74,2.71,38.59,93.69,563.15,4.62,1.16
3,300999.SZ,金龙鱼,2020-10-22,—,—,粮油加工,29.23,63.34,41.49,1.65,0.38,1584.73,92.06,60.07,5.02,5.67
4,600127.SH,金健米业,1998-05-06,—,—,粮油加工,6.97,2007.04,316.49,6.58,,44.73,315.17,528.06,-26.82,-24.96
5,000505.SZ,京粮控股,2018-07-16,—,—,粮油加工,7.04,195.85,,1.66,0.26,51.18,-284.9,-25.39,-34.57,-24.26
6,603231.SH,索宝蛋白,2023-12-22,—,—,粮油加工,19.17,30.29,20.83,1.87,1.56,36.7,60.0,37.62,7.37,0.24
7,603182.SH,嘉华股份,2022-09-19,—,—,粮油加工,15.97,24.08,22.88,2.4,2.5,26.28,7.46,7.79,-7.19,-12.86
1,001338.SZ,永顺泰,2022-11-23,—,—,其他农产品加工,12.53,21.0,18.9,1.69,2.39,62.87,15.12,0.96,-2.75,2.55
2,003030.SZ,祖名股份,2021-12-13,—,—,其他农产品加工,21.63,,141.43,2.65,0.69,26.99,366.76,-20.15,21.27,21.62
3,000911.SZ,广农糖业,2011-10-10,—,—,其他农产品加工,6.64,97.23,52.89,22.14,,26.58,83.92,-32.16,-18.81,-25.85
4,600737.SH,中粮糖业,2017-07-03,—,—,其他农产品加工,16.79,20.96,26.28,3.18,2.44,359.11,-29.86,-48.42,-10.6,-21.32
5,000930.SZ,中粮科技,2011-10-10,—,—,其他农产品加工,6.41,473.54,125.64,1.12,,119.0,724.42,74.44,-12.31,-11.09
6,002286.SZ,保龄宝,2011-10-10,—,—,其他农产品加工,9.57,32.76,25.28,1.65,0.63,36.42,32.58,33.66,15.98,18.02
7,002481.SZ,双塔食品,2021-12-13,—,—,其他农产品加工,5.08,66.24,94.79,2.56,0.58,62.67,-45.27,0.89,-10.45,6.18
8,300138.SZ,晨光生物,2011-10-10,—,—,其他农产品加工,13.52,69.45,19.48,1.96,0.96,65.32,385.3,115.33,-3.41,4.77
9,600191.SH,华资实业,2011-10-10,—,—,其他农产品加工,13.51,257.47,166.67,3.87,,65.51,31.94,-39.22,0.27,-11.37
10,300268.SZ,*ST佳沃,2011-10-11,—,—,其他农产品加工,12.55,,,,,21.86,35.18,-6.51,-44.55,-33.96
1,002157.SZ,正邦科技,2023-12-11,—,—,生猪养殖,3.2,136.78,,2.52,,296.01,-97.25,258.18,82.58,112.17
2,603717.SH,天域生物,2025-08-13,—,—,生猪养殖,7.64,,,4.28,,22.17,-125.22,73.68,-14.23,-2.62
3,600975.SH,新五丰,2004-06-16,—,—,生猪养殖,5.74,182.43,287.8,2.38,,71.73,-1171.47,118.32,2.27,14.08
4,000048.SZ,京基智农,2025-08-13,—,—,生猪养殖,18.05,13.41,23.35,2.27,3.96,95.72,-50.5,-3.97,-20.12,-11.61
5,000735.SZ,罗牛山,1999-12-30,—,—,生猪养殖,7.88,37.53,,2.15,0.25,90.74,-99.14,-102.61,-36.82,-44.25
6,000876.SZ,新希望,1999-12-30,—,—,生猪养殖,8.67,82.43,36.14,1.61,0.28,390.39,395.89,162.0,4.27,4.13
7,002714.SZ,牧原股份,2014-02-11,—,—,生猪养殖,45.68,13.96,11.25,3.52,3.24,2495.39,41.01,1169.77,15.52,34.46
8,300498.SZ,温氏股份,2015-11-09,—,—,生猪养殖,15.74,11.35,12.97,2.55,3.17,1047.33,-18.29,159.12,-0.03,5.91
9,603477.SH,巨星农牧,2022-01-25,—,—,生猪养殖,17.54,17.25,24.43,3.01,0.96,89.47,-58.69,504.12,42.57,66.49
10,001201.SZ,东瑞股份,2021-05-10,—,—,生猪养殖,14.78,,167.15,1.12,,38.1,114.9,103.02,50.09,72.3
11,002124.SZ,天邦食品,2007-04-10,—,—,生猪养殖,2.49,3.79,14.69,1.41,,55.33,-80.65,-58.14,-5.98,8.69
12,605296.SH,神农集团,2021-06-04,—,—,生猪养殖,28.09,21.46,22.06,2.94,1.39,147.41,-3.89,212.65,-3.79,12.16
1,002299.SZ,圣农发展,2009-10-28,—,—,肉鸡养殖,16.9,29.01,14.0,1.91,2.94,210.09,202.82,791.93,6.86,0.22
2,002982.SZ,湘佳股份,2020-05-06,—,—,肉鸡养殖,14.46,29.95,93.4,1.85,0.49,29.38,-74.89,-59.95,9.63,15.13
3,300967.SZ,晓鸣股份,2021-04-20,—,—,肉鸡养殖,23.38,97.86,18.55,5.35,0.85,43.85,2243.97,733.34,58.98,93.65
4,002458.SZ,益生股份,2010-08-17,—,—,肉鸡养殖,9.6,21.08,45.18,2.53,2.56,106.22,-89.42,-96.64,-5.44,-3.98
5,300761.SZ,立华股份,2019-02-25,—,—,肉鸡养殖,19.46,10.71,25.17,1.81,3.05,162.93,-75.27,-74.1,6.38,7.02
6,301116.SZ,益客食品,2022-01-25,—,—,肉鸡养殖,11.38,51.01,,3.46,0.62,51.09,-304.43,-255.03,-10.97,-13.1
7,002234.SZ,民和股份,2008-05-23,—,—,肉鸡养殖,9.18,,,1.77,,32.03,-6.04,-15.51,-2.02,-5.88
8,002746.SZ,仙坛股份,2015-03-02,—,—,肉鸡养殖,6.32,26.38,18.93,1.19,3.96,54.39,72.48,344.55,8.72,5.24
1,600195.SH,中牧股份,2011-10-10,—,—,动物保健Ⅲ,7.91,113.95,37.67,1.41,0.29,80.77,175.49,30.18,6.32,12.63
2,300871.SZ,回盛生物,2020-08-31,—,—,动物保健Ⅲ,28.3,,26.58,2.72,0.73,57.26,494.28,325.88,58.92,88.45
3,600201.SH,生物股份,2011-10-10,—,—,动物保健Ⅲ,16.42,167.5,181.18,3.34,0.18,182.55,-4.85,-50.84,7.38,1.28
4,002688.SZ,金河生物,2012-07-20,—,—,动物保健Ⅲ,6.29,48.44,38.67,2.07,1.55,48.54,22.25,51.52,22.86,30.45
5,002868.SZ,*ST绿康,2017-05-10,—,—,动物保健Ⅲ,36.7,,,,,57.04,47.39,32.74,-13.21,-9.97
6,002141.SZ,贤丰控股,2024-07-31,—,—,动物保健Ⅲ,3.96,,,4.92,,40.9,2547.13,638.22,1943.92,2048.03
7,603566.SH,普莱柯,2015-05-25,—,—,动物保健Ⅲ,14.0,52.2,33.72,1.93,4.23,48.45,47.86,57.12,8.04,15.79
8,603718.SH,海利生物,2015-05-22,—,—,动物保健Ⅲ,5.26,20.03,20.01,2.26,1.5,34.29,0.77,20.56,-14.15,2.02
9,688526.SH,科前生物,2023-09-25,—,—,动物保健Ⅲ,16.18,19.73,16.41,1.81,2.65,75.42,29.62,44.09,10.87,21.67
10,688098.SH,申联生物,2023-09-25,—,—,动物保健Ⅲ,9.45,,,2.75,,38.81,101.97,62.71,-4.27,-3.68
11,300119.SZ,瑞普生物,2011-10-10,—,—,动物保健Ⅲ,19.16,29.61,21.29,1.91,1.53,89.05,45.64,57.59,13.5,20.53
1,600935.SH,华塑股份,2021-12-03,—,—,氯碱,2.72,,,1.63,,97.78,43.36,15.69,-8.24,-6.46
2,000510.SZ,新金路,1993-05-07,—,—,氯碱,15.64,,,8.22,,101.43,-129.38,-15.16,-16.82,-16.27
3,601678.SH,滨化股份,2019-07-08,—,—,氯碱,5.27,49.44,48.75,0.95,0.74,108.4,1.63,6.01,47.35,61.36
4,603213.SH,镇洋发展,2021-11-18,—,—,氯碱,13.63,31.53,65.18,3.24,1.91,60.24,-66.07,-52.63,-1.96,16.88
5,002386.SZ,天原股份,2010-04-19,—,—,氯碱,5.95,,,1.03,,77.45,132.63,48.65,-14.89,-14.12
6,000818.SZ,航锦科技,2017-07-03,—,—,氯碱,21.98,,,6.28,,145.07,-62.72,-58.38,1.38,5.84
7,601216.SH,君正集团,2011-03-02,—,—,氯碱,5.64,16.97,14.15,1.65,2.66,475.9,24.93,26.82,1.63,8.59
8,600319.SH,亚星化学,2019-07-08,—,—,氯碱,7.95,,,7.65,,30.82,-46.4,-54.7,-2.53,-2.89
9,601568.SH,北元集团,2020-10-27,—,—,氯碱,4.1,70.54,79.53,1.42,2.44,162.86,-10.88,1.89,-9.91,-8.06
10,000635.SZ,英力特,2007-07-03,—,—,氯碱,9.9,,,2.53,,39.02,4.07,-25.92,-6.97,-10.0
11,600075.SH,新疆天业,2008-06-03,—,—,氯碱,5.9,147.2,153.72,1.13,0.34,100.73,-28.79,-228.22,2.2,-0.98
12,002092.SZ,中泰化学,2006-12-18,—,—,氯碱,6.34,,,0.76,,164.21,48.51,20.0,-5.55,-8.32
