日期,样本代码,样本简称,所属行业,总市值,权重
2026-01-16,399317,国证A指,000001,,
2026-01-16,399317,国证A指,000002,,
2026-01-16,399317,国证A指,000006,,
2026-01-16,399317,国证A指,000007,,
2026-01-16,399317,国证A指,000008,,
2026-01-16,399317,国证A指,000009,,
2026-01-16,399317,国证A指,000010,,
2026-01-16,399317,国证A指,000011,,
2026-01-16,399317,国证A指,000012,,
2026-01-16,399317,国证A指,000014,,
2026-01-16,399317,国证A指,000016,,
2026-01-16,399317,国证A指,000017,,
2026-01-16,399317,国证A指,000019,,
2026-01-16,399317,国证A指,000020,,
2026-01-16,399317,国证A指,000021,,
2026-01-16,399317,国证A指,000025,,
2026-01-16,399317,国证A指,000026,,
2026-01-16,399317,国证A指,000027,,
2026-01-16,399317,国证A指,000028,,
2026-01-16,399317,国证A指,000029,,
2026-01-16,399317,国证A指,000030,,
2026-01-16,399317,国证A指,000031,,
2026-01-16,399317,国证A指,000032,,
2026-01-16,399317,国证A指,000034,,
2026-01-16,399317,国证A指,000035,,
2026-01-16,399317,国证A指,000036,,
2026-01-16,399317,国证A指,000037,,
2026-01-16,399317,国证A指,000039,,
2026-01-16,399317,国证A指,000042,,
2026-01-16,399317,国证A指,000045,,
2026-01-16,399317,国证A指,000048,,
2026-01-16,399317,国证A指,000049,,
2026-01-16,399317,国证A指,000050,,
2026-01-16,399317,国证A指,000055,,
2026-01-16,399317,国证A指,000056,,
2026-01-16,399317,国证A指,000058,,
2026-01-16,399317,国证A指,000059,,
2026-01-16,399317,国证A指,000060,,
2026-01-16,399317,国证A指,000061,,
2026-01-16,399317,国证A指,000062,,
2026-01-16,399317,国证A指,000063,,
2026-01-16,399317,国证A指,000065,,
2026-01-16,399317,国证A指,000066,,
2026-01-16,399317,国证A指,000068,,
2026-01-16,399317,国证A指,000069,,
2026-01-16,399317,国证A指,000070,,
2026-01-16,399317,国证A指,000078,,
2026-01-16,399317,国证A指,000088,,
2026-01-16,399317,国证A指,000089,,
2026-01-16,399317,国证A指,000090,,
2026-01-16,399317,国证A指,000096,,
2026-01-16,399317,国证A指,000099,,
2026-01-16,399317,国证A指,000100,,
2026-01-16,399317,国证A指,000151,,
2026-01-16,399317,国证A指,000153,,
2026-01-16,399317,国证A指,000155,,
2026-01-16,399317,国证A指,000156,,
2026-01-16,399317,国证A指,000157,,
2026-01-16,399317,国证A指,000158,,
2026-01-16,399317,国证A指,000159,,
2026-01-16,399317,国证A指,000166,,
2026-01-16,399317,国证A指,000301,,
2026-01-16,399317,国证A指,000333,,
2026-01-16,399317,国证A指,000338,,
2026-01-16,399317,国证A指,000400,,
2026-01-16,399317,国证A指,000401,,
2026-01-16,399317,国证A指,000402,,
2026-01-16,399317,国证A指,000403,,
2026-01-16,399317,国证A指,000404,,
2026-01-16,399317,国证A指,000407,,
2026-01-16,399317,国证A指,000408,,
2026-01-16,399317,国证A指,000409,,
2026-01-16,399317,国证A指,000410,,
2026-01-16,399317,国证A指,000411,,
2026-01-16,399317,国证A指,000415,,
2026-01-16,399317,国证A指,000417,,
2026-01-16,399317,国证A指,000419,,
2026-01-16,399317,国证A指,000420,,
2026-01-16,399317,国证A指,000421,,
2026-01-16,399317,国证A指,000422,,
2026-01-16,399317,国证A指,000423,,
2026-01-16,399317,国证A指,000425,,
2026-01-16,399317,国证A指,000426,,
2026-01-16,399317,国证A指,000428,,
2026-01-16,399317,国证A指,000429,,
2026-01-16,399317,国证A指,000498,,
2026-01-16,399317,国证A指,000501,,
2026-01-16,399317,国证A指,000503,,
2026-01-16,399317,国证A指,000505,,
2026-01-16,399317,国证A指,000506,,
2026-01-16,399317,国证A指,000507,,
2026-01-16,399317,国证A指,000509,,
2026-01-16,399317,国证A指,000510,,
2026-01-16,399317,国证A指,000513,,
2026-01-16,399317,国证A指,000514,,
2026-01-16,399317,国证A指,000516,,
2026-01-16,399317,国证A指,000517,,
2026-01-16,399317,国证A指,000519,,
2026-01-16,399317,国证A指,000520,,
2026-01-16,399317,国证A指,000521,,
2026-01-16,399317,国证A指,000523,,
2026-01-16,399317,国证A指,000524,,
2026-01-16,399317,国证A指,000525,,
2026-01-16,399317,国证A指,000526,,
2026-01-16,399317,国证A指,000528,,
2026-01-16,399317,国证A指,000529,,
2026-01-16,399317,国证A指,000530,,
2026-01-16,399317,国证A指,000531,,
2026-01-16,399317,国证A指,000532,,
2026-01-16,399317,国证A指,000533,,
2026-01-16,399317,国证A指,000534,,
2026-01-16,399317,国证A指,000536,,
2026-01-16,399317,国证A指,000537,,
2026-01-16,399317,国证A指,000538,,
2026-01-16,399317,国证A指,000539,,
2026-01-16,399317,国证A指,000541,,
2026-01-16,399317,国证A指,000543,,
2026-01-16,399317,国证A指,000544,,
2026-01-16,399317,国证A指,000545,,
2026-01-16,399317,国证A指,000546,,
2026-01-16,399317,国证A指,000547,,
2026-01-16,399317,国证A指,000548,,
2026-01-16,399317,国证A指,000550,,
2026-01-16,399317,国证A指,000551,,
2026-01-16,399317,国证A指,000552,,
2026-01-16,399317,国证A指,000553,,
2026-01-16,399317,国证A指,000554,,
2026-01-16,399317,国证A指,000555,,
2026-01-16,399317,国证A指,000557,,
2026-01-16,399317,国证A指,000558,,
2026-01-16,399317,国证A指,000559,,
2026-01-16,399317,国证A指,000560,,
2026-01-16,399317,国证A指,000561,,
