序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,4101.91,-0.26,-10.69,763588465,1338017280024.0,1.18,4140.23,4091.81,4127.06,4112.6,0.94
2,399001,深证成指,14281.08,-0.18,-25.65,907401832,1688305163172.6338,1.17,14424.35,14257.59,14374.54,14306.73,0.8
3,899050,北证50,1548.33,0.23,3.49,12010981,30432663506.0,0.97,1558.42,1543.4,1554.47,1544.84,0.75
4,399006,创业板指,3361.02,-0.2,-6.9,312079464,846356149931.99,1.58,3407.86,3354.65,3394.35,3367.92,0.79
5,000680,科创综指,1855.03,1.63,29.73,63460239,345755826332.0,2.12,1869.57,1830.91,1841.79,1825.3,0.94
6,000688,科创50,1514.07,1.35,20.12,16765776,116789712149.0,2.22,1528.78,1495.68,1509.7,1493.95,1.1
7,399330,深证100,5963.1,-0.12,-6.95,76881256,314836466172.36,1.5,6036.6,5947.12,6017.18,5970.05,0.84
8,000300,沪深300,4731.87,-0.41,-19.56,325278929,785624166096.3,1.62,4792.55,4715.36,4778.43,4751.43,1.11
9,000016,上证50,3079.76,-0.83,-25.82,72454154,199999259219.0,1.99,3127.85,3066.09,3117.93,3105.58,1.15
10,399673,创业板50,3518.73,-0.21,-7.29,38525238,253871839758.88,1.71,3572.03,3511.68,3557.45,3526.02,0.78
11,000888,上证综合全收益,4701.7,-0.22,-10.26,763588465,1338017280024.0,1.18,4745.62,4690.12,4730.53,4711.96,0.94
12,399750,深主板50,9193.5,-0.14,-12.52,49270206,104545927231.89,1.37,9293.18,9167.12,9238.08,9206.02,0.86
13,899601,北证专精特新,2666.89,0.46,12.32,2459070,9442831178.0,1.42,2694.34,2656.67,2673.33,2654.57,0.8
14,930050,中证A50,1805.91,-0.79,-14.31,65925878,233000446553.0,1.97,1835.83,1799.93,1830.16,1820.22,1.0
15,000903,中证A100,4634.94,-0.42,-19.43,148745454,432965435149.8,1.77,4700.31,4618.12,4684.7,4654.37,1.06
16,000510,中证A500,5889.35,-0.43,-25.21,472108074,1157957018969.0,1.57,5964.65,5871.73,5941.32,5914.56,0.95
17,000904,中证200,5962.92,0.07,4.41,192531089,419781709848.0,1.41,6027.65,5943.52,5992.06,5958.51,1.11
18,000905,中证500,8232.67,0.11,9.4,281979042,616185542296.4,1.07,8292.74,8204.53,8241.69,8223.27,0.81
19,000906,中证800,5333.45,-0.26,-13.98,607257971,1401809708392.7,1.39,5393.02,5318.92,5372.57,5347.43,0.94
20,000852,中证1000,8232.73,-0.1,-8.05,352539405,633410677296.9,1.51,8304.4,8180.12,8276.61,8240.78,0.83
21,932000,中证2000,3445.07,0.05,1.6,416746758,635598342873.0,1.2,3463.31,3422.09,3451.52,3443.47,0.82
22,000985,中证全指,6246.92,-0.21,-12.9,1644756269,2998226547345.0,1.12,6306.03,6235.71,6285.05,6259.82,0.86
23,000010,上证180,10327.1,-0.33,-34.63,224061517,439204429895.0,1.67,10458.37,10285.45,10417.11,10361.73,1.26
24,000009,上证380,7135.45,0.29,20.69,161016745,331667097418.0,1.02,7184.57,7112.19,7147.08,7114.76,0.89
25,000132,上证100,6461.04,1.01,64.71,18106507,71782601168.0,1.16,6497.19,6423.22,6452.49,6396.33,0.96
26,000133,上证150,7577.51,1.17,87.91,24041748,67589336559.0,1.81,7628.17,7492.46,7519.11,7489.6,0.89
27,000003,Ｂ股指数,259.05,0.03,0.09,396892,163219680.0,0.86,260.15,257.93,258.89,258.96,0.79
28,000012,国债指数,224.86,0.02,0.04,20556202,20448510742.0,0.03,224.86,224.79,224.84,224.82,0.74
29,000013,企债指数,303.09,0.01,0.02,1686684,1607198255.0,0.0,303.1,303.09,303.09,303.07,0.31
30,000011,基金指数,7199.51,0.0,-0.35,1469415909,545293722492.0,0.21,7210.57,7195.33,7205.47,7199.86,0.97
31,399002,深成指R,19174.13,-0.18,-34.25,595142806,841881100463.2,1.17,19366.49,19142.59,19299.6,19208.38,0.81
32,399850,深证50,9277.89,-0.38,-35.75,47723275,200133601257.17,1.66,9406.63,9252.44,9384.65,9313.64,0.82
33,399005,中小100,8806.64,-0.03,-2.42,65018458,207268811183.84,1.19,8885.49,8780.9,8832.01,8809.06,0.72
34,399003,成份Ｂ指,8243.88,0.02,1.27,179561,67912777.4438,0.59,8255.73,8207.51,8240.38,8242.61,0.78
35,399106,深证综指,2686.56,-0.12,-3.36,906894526,1688214998278.9639,1.08,2709.3,2680.24,2700.3,2689.92,0.8
36,399004,深证100R,8479.37,-0.12,-9.9,76881256,314836466172.36,1.5,8583.9,8456.66,8556.27,8489.27,0.84
37,399007,深证300,5976.6,-0.18,-10.51,197271997,603504881055.25,1.23,6037.84,5964.32,6016.43,5987.11,0.79
38,399008,中小300,1765.83,-0.08,-1.45,162272046,351004440711.52,1.12,1780.38,1760.56,1772.45,1767.28,0.78
39,399293,创业大盘,6664.59,-0.24,-15.89,23592488,194192385459.38,1.8,6768.73,6648.55,6739.76,6680.48,0.78
40,399019,创业200,5048.89,-0.75,-38.23,78004921,190063145599.66,2.2,5124.56,5012.75,5103.01,5087.12,0.72
41,399020,创业小盘,1957.61,0.03,0.58,69708039,148196689772.83,1.91,1974.0,1936.71,1966.75,1957.03,0.82
42,399100,新指数,12638.68,-0.26,-32.55,888879608,1678989974076.47,1.17,12761.03,12612.6,12719.04,12671.23,0.8
43,399550,央视50,8368.16,-0.01,-0.86,36830753,115982468363.14,0.99,8426.24,8343.11,8398.03,8369.02,1.02
