,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
交通运输,物流,中间产品及消费品供应链服务,7.0,40.75,13.29,22.33,32.16,38.71,51.32,57.24
交通运输,物流,仓储物流,6.0,65.39,37.36,32.57,37.67,51.6,86.66,125.21
交通运输,物流,公路货运,5.0,66.01,64.38,25.72,39.7,39.72,44.42,180.49
交通运输,物流,原材料供应链服务,13.0,99.6,99.02,19.94,29.39,43.36,145.79,292.17
交通运输,物流,快递,4.0,719.06,807.13,195.64,197.42,391.12,912.76,1898.35
交通运输,物流,跨境物流,11.0,172.04,221.98,25.02,31.8,50.53,237.32,721.54
交通运输,航空机场,航空运输,8.0,749.88,553.26,133.96,281.07,633.81,1292.47,1470.9
交通运输,航运港口,港口,16.0,318.95,306.37,49.48,94.88,233.5,406.58,1154.69
交通运输,航运港口,航运,18.0,338.92,530.09,30.04,66.22,159.16,230.68,2194.99
交通运输,铁路公路,公交,6.0,65.76,41.24,19.94,40.65,57.14,82.12,134.76
交通运输,铁路公路,铁路运输,7.0,567.05,862.31,41.81,77.49,181.78,611.4,2368.0
交通运输,铁路公路,高速公路,20.0,182.14,187.82,28.85,63.9,96.68,231.2,655.05
传媒,出版,大众出版,19.0,86.35,57.73,29.6,44.48,57.08,133.23,232.46
传媒,出版,教育出版,10.0,141.53,73.3,44.41,74.38,159.8,191.44,255.51
传媒,广告营销,营销代理,23.0,130.35,162.06,23.97,57.92,80.87,129.12,792.0
传媒,影视院线,影视动漫制作,15.0,140.0,148.01,26.83,46.0,80.63,152.84,590.82
传媒,数字媒体,门户网站,8.0,96.51,94.69,21.79,33.1,42.34,157.78,278.52
传媒,游戏Ⅱ,游戏Ⅲ,26.0,259.44,333.42,21.65,69.34,112.12,301.61,1502.15
传媒,电视广播Ⅱ,电视广播Ⅲ,14.0,134.99,87.18,30.78,80.48,115.3,153.89,387.63
公用事业,燃气Ⅱ,燃气Ⅲ,29.0,101.62,117.27,21.16,39.3,55.65,121.5,594.08
公用事业,电力,光伏发电,13.0,109.54,59.73,34.95,51.74,96.34,158.91,221.34
公用事业,电力,水力发电,11.0,994.28,1854.91,54.39,66.84,217.34,848.46,6361.74
公用事业,电力,火力发电,28.0,304.43,262.08,44.92,101.88,220.98,374.0,1075.32
公用事业,电力,热力服务,18.0,74.26,60.69,19.93,32.1,44.14,94.06,199.7
公用事业,电力,电能综合服务,15.0,159.72,127.82,44.27,56.15,126.58,255.46,456.39
公用事业,电力,风力发电,14.0,469.83,703.43,49.39,107.47,175.7,310.98,2482.0
农林牧渔,养殖业,生猪养殖,12.0,403.32,717.9,22.17,67.63,93.23,319.6,2495.39
农林牧渔,养殖业,肉鸡养殖,8.0,86.25,67.44,29.38,40.9,52.74,120.4,210.09
农林牧渔,农产品加工,其他农产品加工,10.0,84.63,100.65,21.86,29.35,62.77,65.46,359.11
农林牧渔,农产品加工,果蔬加工,5.0,69.22,50.01,27.15,29.61,58.68,81.43,149.25
农林牧渔,农产品加工,粮油加工,7.0,266.29,581.64,26.28,37.65,44.73,66.5,1584.73
农林牧渔,动物保健Ⅱ,动物保健Ⅲ,11.0,68.46,41.83,34.29,44.68,57.04,78.1,182.55
农林牧渔,渔业,水产养殖,4.0,35.7,6.33,27.38,32.8,36.66,39.56,42.08
农林牧渔,种植业,其他种植业,6.0,98.98,102.97,28.42,35.6,62.78,101.04,299.56
农林牧渔,种植业,种子,8.0,78.08,37.92,28.2,51.24,83.5,89.86,147.53
农林牧渔,饲料,畜禽饲料,10.0,66.14,49.53,19.27,26.05,58.5,88.52,177.16
医药生物,中药Ⅱ,中药Ⅲ,66.0,132.59,183.46,22.9,38.51,64.75,122.92,999.19
医药生物,化学制药,化学制剂,108.0,207.07,550.31,15.42,49.7,79.31,153.63,4213.03
医药生物,化学制药,原料药,42.0,85.33,86.88,24.49,36.08,56.06,105.59,522.65
医药生物,医疗器械,体外诊断,39.0,71.73,72.69,16.96,33.78,48.55,83.02,428.22
医药生物,医疗器械,医疗耗材,50.0,90.24,73.02,18.99,40.66,55.02,119.38,328.68
医药生物,医疗器械,医疗设备,38.0,177.17,390.7,25.21,46.3,77.99,111.78,2281.21
医药生物,医疗服务,医疗研发外包,29.0,225.51,519.12,29.95,53.98,73.09,148.64,2822.63
医药生物,医疗服务,医院,15.0,164.68,250.78,23.86,42.57,85.81,158.74,1029.52
医药生物,医药商业,医药流通,23.0,115.3,128.64,25.14,48.8,71.7,123.77,636.73
医药生物,医药商业,线下药店,8.0,114.84,91.41,29.29,60.08,84.07,141.27,286.0
医药生物,生物制品,其他生物制品,31.0,149.82,138.82,26.67,54.76,89.94,173.48,570.35
医药生物,生物制品,疫苗,13.0,190.77,141.71,24.9,97.25,165.45,199.44,528.64
医药生物,生物制品,血液制品,7.0,194.54,140.84,52.28,88.67,128.02,293.96,416.2
商贸零售,一般零售,商业物业经营,14.0,161.54,208.51,29.9,57.4,99.69,187.36,842.27
商贸零售,一般零售,多业态零售,15.0,57.02,35.21,21.73,40.32,48.83,59.98,161.82
商贸零售,一般零售,百货,22.0,82.28,83.48,25.23,40.62,54.19,95.87,418.95
