,0
0,第0条：热门中概股盘前多数走高，金山云涨超7%，哔哩哔哩涨近4%，百度、小马智行涨超2%，阿里巴巴涨超1%。
1,第1条：美股存储板块盘前走强。美光科技涨4%，闪迪涨超3%，西部数据涨近3%，希捷科技涨超2%。
2,第2条：【南向资金净卖逾6亿港元，逾10亿抢筹腾讯控股】南向十大成交股中，腾讯控股、中国人寿、长飞光纤光缆分别获净买入10.24亿港元、5.11亿港元、3.55亿港元。中国移动、紫金矿业、中芯国际分别遭净卖出11.47亿港元、8.43亿港元、5.53亿港元。
3,第3条：【央行：建立打击治理洗钱违法犯罪常态化工作机制 进一步提升反洗钱监测分析能力】中国人民银行2026年1月22日召开2026年反洗钱工作会议。会议要求，2026年要充分认识反洗钱工作面临的新形势新要求，认真做好当前和今后一段时期反洗钱重点工作。
4,第4条：【强瑞技术：2025年净利同比预增38.39%—64.02%】强瑞技术(301128)1月27日发布业绩预告，预计2025年归母净利1.35亿元—1.6亿元，同比增长38.39%—64.02%。
5,第5条：【索菱股份：高新投集团拟减持公司不超3%股份】索菱股份(002766)1月27日公告，公司持股8.86%的股东高新投集团计划通过大宗交易和集中竞价相结合的交易方式，减持公司股份不超过2591.68万股(占公司总股本的3%)。
6,第6条：【海鸥股份：截至目前公司暂无CDU产品营业收入】海鸥股份1月27日在互动平台表示，公司子公司TCT为曙光数创的授权经销商，根据约定双方开展数据中心基础设施液冷设备（含设备安装调试服务）的销售授权产品合作，公司不生产CDU产品，截至目前公司暂无CDU产品营业收入。
7,"第7条：【拓尔思：预计2025年净利润亏损2.50亿元-3.10亿元】拓尔思(300229.SZ)公告称，拓尔思预计2025年归属于上市公司股东的净利润亏损2.50亿元-3.10亿元，上年同期为-9,414.56万元。"
8,第8条：【永鼎股份：2025年净利同比预增226%-388%】1月27日，永鼎股份(600105.SH)公告称，预计2025年度归属于上市公司股东的净利润为2亿元-3亿元，同比增加225.66%-388.48%。
9,"第9条：【金龙汽车：预计2025年归母净利润约4.63亿元 同比增长193.68%】金龙汽车1月27日公告，公司预计2025年年度归属于上市公司股东的净利润约46,326万元（未经审计），与上年同期相比，将同比增长193.68%。"
10,第10条：【宝胜股份：2025年预亏3000万元—4500万元】宝胜股份(600973)1月27日披露业绩预告，预计2025年度实现归属于上市公司股东的净利润为-3000万元至-4500万元，同比减少亏损2.55亿元到2.7亿元。
11,第11条：【楚江新材：2025年净利同比预增60.97%—95.78%】楚江新材(002171)1月27日发布业绩预告，预计2025年归母净利润为3.7亿元—4.5亿元，同比增长60.97%—95.78%。
12,第12条：【招商证券业绩快报：2025年净利润123亿元 同比增长18.43%】招商证券(600999)1月27日发布2025年度业绩快报，2025年营业总收入为249亿元，同比增长19.19%；归属于母公司股东的净利润123亿元，同比增长18.43%；基本每股收益1.35元。
13,第13条：【三部门：政府举办或参与举办的经营性公墓收取的墓位使用费实行政府指导价管理】国家发展改革委、民政部、财政部发布关于进一步完善殡葬服务收费政策的通知。各类殡葬服务机构收取的生态安葬费，城镇公益性公墓（骨灰堂）、政府举办或参与举办的经营性公墓（骨灰堂）收取的墓位使用费、格位使用费、维护管理费，收费标准由省级发展改革部门会同同级财政、民政部门制定，或者经省级人民政府授权由地级及以上人民政府制定，具体实行政府指导价管理。
14,第14条：【央行：去年四季度末人民币普惠小微贷款余额36.57万亿元 同比增长11.1%】中国人民银行统计，2025年四季度末，人民币普惠小微贷款余额36.57万亿元，同比增长11.1%，增速比各项贷款高4.7个百分点，全年增加3.63万亿元。
15,第15条：【吉林力推具身智能产业化落地】吉林省第十四届人民代表大会第五次会议27日在长春开幕。在吉林省政府工作报告中，“具身智能”被列为今年重点推进的产业方向，释放出老工业基地加快布局人工智能新赛道、推动制造业转型升级的政策信号。
16,第16条：【机构：预估2030年全球REEV年销量将达300万台 较2025年实现翻倍成长】TrendForce集邦咨询预估，在政策弹性、技术成熟度、市场接受度的支撑下，2030年全球REEV年销量将可达300万台，较2025年实现翻倍成长。
17,第17条：【臻镭科技预计2025年归母净利润增529.64%至642.26%】1月27日，臻镭科技（688270）发布公告，预计2025年年度实现归母净利润为1.23亿元到1.45亿元，同比增加529.64%到642.26%。
18,第18条：黄金主题LOF1月27日公告，1月28日起暂停A类人民币份额申购及定期定额投资业务。
19,第19条：【央行：2025年四季度末本外币高新技术企业贷款余额18.61万亿元 同比增长7.5%】中国人民银行统计，2025年四季度末，获得贷款支持的高新技术企业26.54万家，获贷率为57.3%，比上年末高0.4个百分点。本外币高新技术企业贷款余额18.61万亿元，同比增长7.5%，增速比各项贷款高1.3个百分点。
20,第20条：【央行：2025年四季度末本外币工业中长期贷款余额26.63万亿元 同比增长8.4%】中国人民银行统计，2025年四季度末，本外币工业中长期贷款余额26.63万亿元，同比增长8.4%，增速比各项贷款高2.2个百分点，全年增加2.11万亿元。
21,第21条：【央行：2025年四季度末本外币住户贷款余额83.28万亿元 同比增长0.5%】中国人民银行统计，2025年四季度末，本外币住户贷款余额83.28万亿元，同比增长0.5%，全年增加4412亿元。其中，经营性贷款余额25.11万亿元，同比增长4.0%，全年增加9378亿元。
22,第22条：【宁波富邦：2025年净利同比预增3099.59%至4379.43%】宁波富邦(600768)1月27日发布业绩预告，预计2025年度净利润为5000万元到7000万元，同比增长3099.59%到4379.43%。
23,第23条：【弘信电子：2025年净利同比预增93.61%—164.01%】弘信电子(300657)1月27日发布业绩预告，预计2025年归母净利1.1亿元—1.5亿元，同比增长93.61%—164.01%。
24,第24条：【央行：2025年四季度末人民币房地产贷款余额51.95万亿元 同比下降1.6%】中国人民银行统计，2025年四季度末，人民币房地产贷款余额51.95万亿元，同比下降1.6%，全年减少9636亿元。2025年四季度末，房地产开发贷款余额13.16万亿元，同比下降3.0%，全年减少3575亿元。
